Name,Team,Group,Position,Games_Played,AB,R,H,Doubles,Triples,HR,RBI,Walks,Strike_Outs
"Pederson, J",LAD,Outfield,LF,148,395,65,98,27,3,25,56,40,85
"Hicks, A",NYY,Outfield,CF,137,480,90,119,18,3,27,79,90,111
"Barnhart, T",CIN,Battery,C,138,460,50,114,21,3,10,46,54,96
"Miller, B",MIL,Infield,2B,75,230,21,57,13,2,7,29,22,82
"Sandoval, P",SF,Infield,3B,92,230,22,57,10,1,9,40,19,52
"Reynolds, M",WSH,Infield,1B,86,206,26,51,8,0,13,40,24,64
"Maile, L",TOR,Battery,C,68,202,22,50,13,1,3,27,25,67
"Galvis, F",SD,Infield,SS,162,602,62,149,31,5,13,67,45,147
"Gonzalez, M",HOU,Outfield,LF,145,489,61,121,25,3,16,68,53,126
"Jansen, D",TOR,Battery,C,31,81,12,20,6,0,3,8,9,17
"Hechavarria, A",NYY,Infield,SS,94,296,34,73,11,0,6,31,16,58
"Olson, M",OAK,Infield,1B,162,580,85,143,33,0,29,84,70,163
"Davis, K",OAK,Outfield,LF,151,576,98,142,28,1,48,123,59,175
"Lin, T",BOS,Infield,SS,37,65,15,16,6,1,1,6,8,17
"Saladino, T",MIL,Infield,SS,58,126,13,31,4,0,5,16,9,41
"Encarnacion, E",CLE,DH,DH,137,500,74,123,16,1,32,107,63,132
"Donaldson, J",CLE,Infield,3B,52,187,30,46,14,0,8,23,31,54
"Petit, G",MIN,Infield,SS,26,61,7,15,2,0,0,3,6,14
"Hoskins, R",PHI,Outfield,LF,153,558,89,137,38,0,34,96,87,150
"Goodrum, N",DET,Infield,2B,131,444,55,109,29,3,16,53,42,132
"Grichuk, R",TOR,Outfield,RF,124,424,60,104,32,1,25,61,27,122
"Margot, M",SD,Outfield,CF,141,477,50,117,26,8,8,51,32,88
"Pujols, A",LAA,Infield,1B,117,465,50,114,20,0,19,64,28,65
"Gordon, A",KC,Outfield,LF,141,506,56,124,24,0,13,54,50,124
"Moreland, M",BOS,Infield,1B,124,404,57,99,23,4,15,68,50,102
"Jackson, A",NYM,Outfield,CF,116,347,29,85,17,1,3,32,26,133
"Rickard, J",BAL,Outfield,CF,79,213,27,52,10,1,8,23,15,55
"Romine, A",NYY,Battery,C,77,242,30,59,12,0,10,42,17,67
"Longoria, E",SF,Infield,3B,125,480,51,117,25,4,16,54,22,101
"Prado, M",MIA,Infield,3B,54,197,16,48,9,0,1,18,11,35
"Conforto, M",NYM,Outfield,CF,153,543,78,132,25,1,28,82,84,159
"Scherzer, M",WSH,Battery,P,32,70,8,17,2,0,0,6,1,14
"Reddick, J",HOU,Outfield,RF,134,433,63,105,13,2,17,47,49,77
"Martinez, C",STL,Battery,P,33,33,1,8,2,0,1,4,0,11
"Mancini, T",BAL,Outfield,LF,156,582,69,141,23,3,24,58,44,153
"Granderson, C",MIL,Outfield,LF,123,343,60,83,22,2,13,38,54,106
"Sanchez, Y",CWS,Infield,3B,155,600,62,145,34,10,8,55,49,138
"Smoak, J",TOR,Infield,1B,147,505,67,122,34,0,25,77,83,156
"Hundley, N",SF,Battery,C,96,282,34,68,13,2,10,31,22,85
"Lucroy, J",OAK,Battery,C,126,415,41,100,21,1,4,51,29,65
"Shaw, T",MIL,Infield,3B,152,498,73,120,23,0,32,86,78,108
"Grandal, Y",LAD,Battery,C,140,440,65,106,23,2,24,68,72,124
"Duda, L",ATL,Infield,1B,107,328,35,79,14,1,14,50,28,102
"DeJong, P",STL,Infield,SS,115,436,68,105,25,1,19,68,36,123
"Kinsler, I",BOS,Infield,2B,128,487,66,117,26,0,14,48,40,64
"Adams, L",ATL,Outfield,CF,26,25,10,6,1,0,2,6,4,8
"Devers, R",BOS,Infield,3B,121,450,59,108,24,0,21,66,38,121
"Anderson, T",CWS,Infield,SS,153,567,77,136,28,3,20,64,30,149
"Palka, D",CWS,Outfield,RF,124,417,56,100,15,3,27,67,30,153
"Hernandez, T",TOR,Outfield,LF,134,476,67,114,29,7,22,57,41,163
"Briceno, J",LAA,Battery,C,46,117,12,28,2,0,5,10,8,35
"Bote, D",CHC,Infield,3B,74,184,23,44,9,2,6,33,19,60
"Kershaw, C",LAD,Battery,P,25,46,1,11,2,0,0,7,7,11
"Goodwin, B",KC,Outfield,CF,75,159,20,38,6,0,6,25,16,57
"Correa, C",HOU,Infield,SS,110,402,60,96,20,1,15,65,53,111
"Adams, M",STL,Infield,1B,121,306,42,73,10,0,21,57,27,73
"Swanson, D",ATL,Infield,SS,136,478,51,114,25,4,14,59,44,122
"Schwarber, K",CHC,Outfield,LF,137,428,64,102,14,3,26,61,78,140
"Wieters, M",WSH,Battery,C,76,235,24,56,8,0,8,30,30,45
"Descalso, D",ARI,Infield,3B,138,349,54,83,22,4,13,57,64,110
"Cordero, F",SD,Outfield,LF,40,139,19,33,5,1,7,19,14,55
"Herrmann, C",SEA,Battery,C,36,76,6,18,4,2,2,7,10,24
"Gonzalez, A",NYM,Infield,1B,54,169,15,40,5,0,6,26,15,34
"Villanueva, C",SD,Infield,3B,110,351,42,83,15,0,20,46,23,104
"Kratz, E",MIL,Battery,C,67,203,18,48,6,0,6,23,6,40
"Heredia, G",SEA,Outfield,LF,125,292,29,69,14,1,5,19,32,52
"Hamilton, B",CIN,Outfield,CF,153,504,74,119,16,9,4,29,46,132
"Desmond, I",COL,Infield,1B,160,555,82,131,21,8,22,88,53,146
"Garcia, A",CWS,Outfield,RF,93,356,47,84,11,2,19,49,20,102
"Gardner, B",NYY,Outfield,LF,140,530,95,125,20,7,12,45,65,107
"Arcia, O",MIL,Infield,SS,119,348,32,82,16,0,3,30,15,87
"Engel, A",CWS,Outfield,CF,143,429,49,101,17,4,6,29,18,129
"Farmer, K",LAD,Battery,C,39,68,1,16,4,1,0,9,5,15
"Healy, R",SEA,Infield,1B,133,493,51,116,15,0,24,73,27,113
"Moncada, Y",CWS,Infield,2B,149,578,73,136,32,6,17,61,67,217
"Mullins, C",BAL,Outfield,CF,45,170,23,40,9,0,4,11,17,37
"Perez, S",KC,Battery,C,129,510,52,120,23,0,27,80,17,108
"Guzman, R",TEX,Infield,1B,123,387,46,91,18,2,16,58,33,121
"Spangenberg, C",SD,Infield,3B,116,298,35,70,9,4,7,25,25,108
"Ahmed, N",ARI,Infield,SS,153,516,61,121,33,5,16,70,40,109
"Blandino, A",CIN,Infield,2B,69,128,14,30,4,0,1,8,13,41
"Greinke, Z",ARI,Battery,P,30,64,6,15,4,0,0,5,3,16
"Valera, B",BAL,Infield,2B,32,64,8,15,0,1,0,8,7,13
"Hernandez, G",SF,Outfield,CF,142,414,52,97,16,2,15,40,27,113
"Bradley Jr., J",BOS,Outfield,CF,144,474,76,111,33,4,13,59,46,137
"Herrera, R",KC,Outfield,RF,86,278,25,65,14,3,1,20,19,57
"Toles, A",LAD,Outfield,LF,17,30,5,7,2,0,0,4,2,8
"Ortega, R",MIA,Outfield,LF,41,133,10,31,3,1,0,7,10,23
"Barreto, F",OAK,Infield,2B,32,73,10,17,4,0,5,16,1,29
"Cuevas, N",COL,Outfield,RF,75,146,16,34,4,1,2,10,6,24
"Happ, I",CHC,Outfield,CF,142,387,56,90,19,2,15,44,70,167
"Lowe, B",TB,Infield,2B,43,129,16,30,6,2,6,25,16,38
"Rivera, R",ATL,Battery,C,33,86,8,20,4,0,4,11,4,35
"Schoop, J",MIL,Infield,2B,131,473,61,110,22,1,21,61,19,115
"Urshela, G",NYY,Infield,3B,19,43,7,10,1,0,1,3,2,10
"Travis, D",TOR,Infield,2B,103,357,41,83,14,3,11,44,16,64
"Caratini, V",CHC,Battery,C,76,181,21,42,7,0,2,21,12,42
"McMahon, R",COL,Infield,1B,91,181,17,42,9,1,5,19,18,64
"Kieboom, S",WSH,Battery,C,52,125,16,29,5,0,2,13,16,28
"Forsythe, L",MIN,Infield,2B,120,371,37,86,16,0,2,27,41,83
"Hedges, A",SD,Battery,C,91,303,29,70,14,2,14,37,21,90
"Escobar, A",KC,Infield,SS,140,485,54,112,22,3,4,34,29,74
"Kivlehan, P",ARI,Outfield,RF,9,13,3,3,0,2,0,0,0,6
"Riddle, J",MIA,Infield,SS,102,308,28,71,10,4,9,36,20,67
"Difo, W",WSH,Infield,2B,148,408,55,94,14,7,7,42,39,82
"Beckham, T",BAL,Infield,3B,96,369,45,85,17,0,12,35,27,100
"Kipnis, J",CLE,Infield,2B,147,530,65,122,28,1,18,75,60,112
"Rondon, J",CWS,Infield,2B,42,100,15,23,6,0,6,14,7,30
"Andreoli, J",BAL,Outfield,RF,26,61,4,14,2,0,0,4,5,19
"Austin, T",MIN,Infield,1B,69,244,34,56,10,0,17,47,19,95
"Dozier, H",KC,Infield,1B,102,362,36,83,19,4,11,34,24,109
"Swihart, B",BOS,Battery,C,82,192,28,44,10,0,3,18,15,57
"Tucker, P",ATL,Outfield,LF,97,166,19,38,11,0,6,27,13,43
"Santana, C",PHI,Infield,1B,161,560,82,128,28,2,24,86,110,93
"Davidson, M",CWS,DH,DH,123,434,51,99,23,0,20,62,52,165
"Flowers, T",ATL,Battery,C,82,251,34,57,9,0,8,30,35,76
"Bour, J",PHI,Infield,1B,141,423,49,96,13,1,20,59,73,124
"Taylor, M",WSH,Outfield,CF,134,353,46,80,22,3,6,28,29,116
"Solarte, Y",TOR,Infield,3B,122,468,50,106,20,0,17,54,31,72
"Osuna, J",PIT,Infield,3B,51,106,14,24,9,0,3,11,3,22
"Zimmer, B",CLE,Outfield,CF,34,106,14,24,5,0,2,9,7,44
"Stassi, M",HOU,Battery,C,88,221,28,50,13,0,8,27,23,74
"Goins, R",PHI,Infield,2B,41,115,10,26,8,1,0,6,4,29
"Gattis, E",HOU,Battery,C,128,407,49,92,17,0,25,78,33,101
"Murphy, T",COL,Battery,C,37,93,5,21,7,1,2,11,3,44
"Kingery, S",PHI,Infield,SS,147,452,55,102,23,2,8,35,24,126
"Pence, H",SF,Outfield,LF,97,235,19,53,11,1,4,24,11,59
"Florimon, P",PHI,Infield,SS,50,71,13,16,6,1,2,5,5,30
"Maldonado, M",HOU,Battery,C,119,373,39,84,18,1,9,44,16,98
"Federowicz, T",CIN,Battery,C,15,40,5,9,4,0,1,4,2,16
"Tocci, C",TEX,Outfield,CF,65,120,11,27,3,2,0,5,7,39
"Velasquez, V",PHI,Battery,P,30,40,2,9,1,0,0,1,0,11
"Bonifacio, J",KC,Outfield,RF,69,236,31,53,16,2,4,23,29,71
"Candelario, J",DET,Infield,3B,144,539,78,121,28,3,19,54,66,160
"Davis, R",CLE,Outfield,CF,101,196,33,44,6,1,1,6,11,48
"Iannetta, C",COL,Battery,C,110,299,36,67,13,1,11,36,50,87
"Fowler, D",OAK,Outfield,CF,69,192,19,43,3,2,6,23,8,47
"Smith, D",NYM,Infield,1B,56,143,14,32,11,1,5,11,4,47
"Kepler, M",MIN,Outfield,RF,156,532,80,119,30,4,20,58,71,96
"Bruce, J",NYM,Outfield,RF,94,319,31,71,18,1,9,37,41,75
"Calhoun, W",TEX,Outfield,LF,35,99,8,22,5,0,2,11,6,24
"Chirinos, R",TEX,Battery,C,113,360,48,80,15,1,18,65,45,140
"Joseph, C",BAL,Infield,2B,14,18,1,4,1,0,0,3,1,5
"Lamb, J",ARI,Infield,3B,56,207,34,46,8,0,6,31,26,65
"Moore, A",TB,Battery,C,8,18,2,4,1,0,1,2,1,7
"Travis, S",BOS,Infield,1B,19,36,5,8,3,0,1,7,2,10
"Field, J",MIN,Outfield,RF,83,221,28,49,13,0,9,21,7,72
"Reyes, V",DET,Outfield,LF,100,212,35,47,5,3,1,12,5,46
"Mesoraco, D",NYM,Battery,C,84,244,24,54,10,0,11,33,25,52
"Seager, K",SEA,Infield,3B,155,583,62,129,36,1,22,78,38,138
"Dean, A",MIA,Outfield,LF,34,113,16,25,4,0,4,14,7,22
"Garcia, G",STL,Infield,SS,114,181,15,40,6,0,3,15,20,37
"McCann, J",DET,Battery,C,118,427,31,94,16,0,8,39,26,116
"Souza Jr., S",ARI,Outfield,RF,72,241,21,53,15,3,5,29,28,75
"Rodriguez, R",DET,Infield,2B,62,191,17,42,7,0,5,20,10,42
"Walker, N",NYY,Infield,1B,113,347,48,76,12,1,11,46,42,87
"Joseph, C",BAL,Battery,C,82,265,28,58,14,2,3,17,10,68
"Cozart, Z",LAA,Infield,3B,58,224,29,49,13,2,5,18,19,42
"Greiner, G",DET,Battery,C,30,96,9,21,6,0,0,12,17,32
"Negron, K",SEA,Infield,2B,20,32,6,7,0,0,1,4,1,9
"Thames, E",MIL,Infield,1B,96,247,41,54,10,3,16,37,29,97
"Erlin, R",SD,Battery,P,38,23,1,5,0,0,0,0,1,11
"Flaherty, R",ATL,Infield,3B,81,161,17,35,6,0,2,13,18,41
"Kozma, P",DET,Infield,SS,27,69,7,15,4,1,1,8,2,15
"Blanco, G",SF,Outfield,CF,68,189,19,41,7,3,2,12,12,58
"Kiermaier, K",TB,Outfield,CF,88,332,44,72,12,9,7,29,25,91
"Marte, J",LAA,Infield,1B,90,194,28,42,7,1,7,22,13,41
"Stallings, J",PIT,Battery,C,14,37,2,8,0,0,0,5,3,9
"DeShields, D",TEX,Outfield,CF,106,334,52,72,14,1,2,22,43,83
"Dozier, B",LAD,Infield,2B,151,553,81,119,30,2,21,72,70,129
"D'Arnaud, C",SF,Infield,3B,42,93,9,20,5,0,3,9,4,37
"Freitas, D",SEA,Battery,C,36,93,9,20,6,0,1,5,8,25
"Delmonico, N",CWS,Outfield,LF,88,284,31,61,11,5,8,25,27,80
"Trahan, B",CIN,Infield,SS,11,14,2,3,0,0,0,0,0,4
"Crawford, J",PHI,Infield,SS,49,117,17,25,6,3,3,12,13,37
"Utley, C",LAD,Infield,2B,87,164,18,35,10,1,1,14,17,34
"Frazier, T",NYM,Infield,3B,115,408,54,87,18,0,18,59,48,112
"Lugo, D",DET,Infield,2B,27,94,10,20,4,1,1,8,7,20
"Williamson, M",SF,Outfield,RF,28,94,14,20,4,0,4,11,11,27
"Cooper, G",MIA,Outfield,LF,14,33,2,7,1,0,0,2,4,12
"McCann, B",HOU,Battery,C,63,189,22,40,3,0,7,23,19,40
"Marisnick, J",HOU,Outfield,CF,103,213,34,45,8,1,10,28,15,84
"Gimenez, C",MIN,Battery,C,25,57,7,12,1,0,2,7,6,16
"Gomber, A",STL,Battery,P,27,19,1,4,1,0,0,4,0,3
"Hermosillo, M",LAA,Outfield,CF,31,57,7,12,4,0,1,1,3,17
"Rosales, A",CLE,Infield,2B,13,19,4,4,1,0,1,2,1,5
"Vargas, I",ARI,Infield,SS,14,19,2,4,0,0,1,4,1,4
"Plawecki, K",NYM,Battery,C,79,238,33,50,13,2,7,30,28,65
"Romine, A",SEA,Infield,SS,72,119,15,25,2,1,0,2,7,39
"Guillorme, L",NYM,Infield,SS,35,67,4,14,2,0,0,5,7,3
"Newman, K",PIT,Infield,2B,31,91,7,19,2,0,0,6,4,23
"Sucre, J",TB,Battery,C,73,182,9,38,5,0,1,17,9,29
"Gomez, C",TB,Outfield,RF,118,360,42,75,15,2,9,32,25,103
"Urias, L",SD,Infield,2B,12,48,5,10,1,0,2,5,3,10
"Calhoun, K",LAA,Outfield,RF,137,491,71,102,18,2,19,57,53,133
"Joyce, M",OAK,Outfield,LF,83,207,34,43,9,0,7,15,35,53
"Jones, J",DET,Outfield,LF,129,429,54,89,22,6,11,34,24,142
"Vazquez, C",BOS,Battery,C,80,251,24,52,10,0,3,16,13,41
"Tomlinson, K",SF,Infield,SS,63,140,9,29,4,2,0,10,9,35
"Telis, T",MIA,Battery,C,23,29,2,6,1,0,0,1,2,8
"Vogelbach, D",SEA,Infield,1B,37,87,9,18,2,0,4,13,13,26
"Owings, C",ARI,Infield,2B,106,281,34,58,15,0,4,22,24,75
"Gallagher, C",KC,Battery,C,22,63,5,13,3,0,1,7,3,15
"Guyer, B",CLE,Outfield,RF,103,194,25,40,11,0,7,27,15,48
"Gallo, J",TEX,Outfield,LF,148,500,82,103,24,1,40,92,74,207
"Machado, D",DET,Infield,2B,67,214,20,44,13,1,1,21,14,41
"Holaday, B",MIA,Battery,C,61,151,7,31,5,0,1,16,10,29
"Barnes, A",LAD,Battery,C,100,200,32,41,5,0,4,14,31,67
"Bourjos, P",SF,Outfield,CF,36,44,5,9,2,1,1,4,2,15
"Suzuki, I",SEA,Outfield,RF,15,44,5,9,0,0,0,0,3,7
"Phegley, J",OAK,Battery,C,39,93,13,19,7,0,2,15,6,27
"Arcia, F",LAA,Battery,C,40,103,10,21,5,0,6,23,1,27
"Galloway, I",MIA,Outfield,RF,43,64,7,13,3,0,3,7,9,21
"Bautista, J",PHI,Outfield,RF,122,325,52,66,18,0,13,48,67,111
"Pena, F",STL,Battery,C,58,133,10,27,3,0,2,8,6,43
"Murphy, J",ARI,Battery,C,87,208,19,42,9,0,9,24,11,71
"Young Jr., E",LAA,Outfield,CF,41,109,12,22,4,2,1,8,6,28
"Mahtook, M",DET,Outfield,CF,67,223,24,45,4,2,9,29,21,66
"Bauers, J",TB,Infield,1B,96,323,48,65,22,2,11,48,54,104
"Zunino, M",SEA,Battery,C,113,373,37,75,18,0,20,44,24,150
"Baron, S",STL,Battery,C,2,5,0,1,0,0,0,0,0,2
"Bundy, D",BAL,Battery,P,2,5,1,1,0,0,0,0,0,2
"D'Arnaud, T",NYM,Battery,C,4,15,1,3,0,0,1,3,1,5
"Davis, J",TOR,Outfield,CF,20,25,3,5,1,0,0,0,1,6
"Despaigne, O",LAA,Battery,P,12,5,0,1,0,0,0,0,0,1
"Ferguson, C",LAD,Battery,P,28,5,0,1,0,0,0,0,0,3
"Gore, T",CHC,Outfield,CF,14,5,5,1,0,0,0,0,0,1
"Manaea, S",OAK,Battery,P,3,5,0,1,0,0,0,0,0,0
"Mathis, J",ARI,Battery,C,69,195,15,39,9,1,1,20,20,66
"Mills, A",CHC,Battery,P,7,5,0,1,0,0,0,0,0,2
"Nottingham, J",MIL,Battery,C,9,20,2,4,1,0,0,0,4,8
"Peterson, J",BAL,Infield,3B,96,210,21,42,13,2,3,28,31,58
"Pompey, D",TOR,Outfield,RF,5,10,0,2,0,0,0,0,1,6
"Schimpf, R",LAA,Infield,3B,5,5,2,1,0,0,1,2,2,3
"Stewart, C",ARI,Battery,C,8,15,3,3,0,0,0,3,1,1
"Tapia, R",COL,Outfield,CF,25,25,6,5,2,1,1,6,2,7
"Taylor, B",OAK,Battery,C,7,5,0,1,1,0,0,0,1,2
"Verlander, J",HOU,Battery,P,2,5,0,1,0,0,0,0,0,2
"Sano, M",MIN,Infield,3B,71,266,32,53,14,0,13,41,31,115
"Valbuena, L",LAA,Infield,3B,96,266,23,53,9,0,9,33,19,100
"Brinson, L",MIA,Outfield,CF,109,382,31,76,10,5,11,42,17,120
"Bird, G",NYY,Infield,1B,82,272,23,54,16,1,11,38,30,78
"Santander, A",BAL,Outfield,LF,33,101,8,20,5,1,1,6,6,21
"Knapp, A",PHI,Battery,C,84,187,19,37,6,2,4,15,24,75
"Corbin, P",ARI,Battery,P,31,61,1,12,1,0,0,5,2,25
"Wheeler, Z",NYM,Battery,P,27,56,4,11,2,0,0,4,0,21
"Asuaje, C",SD,Infield,2B,79,189,15,37,8,1,2,19,24,46
"Duvall, A",ATL,Outfield,LF,138,384,48,75,20,0,15,61,37,117
"Ross, T",STL,Battery,P,31,41,2,8,0,0,1,4,1,16
"Rua, R",TEX,Outfield,LF,61,139,17,27,3,1,6,12,5,53
"Cuthbert, C",KC,Infield,3B,30,103,11,20,2,0,3,7,11,23
"Martin, R",TOR,Battery,C,90,289,37,56,8,0,10,25,56,82
"Shuck, JB",MIA,Outfield,RF,70,130,10,25,3,1,0,4,10,22
"Suter, B",MIL,Battery,P,19,26,4,5,1,0,1,3,4,6
"Sierra, M",MIA,Outfield,CF,54,147,10,28,3,0,0,7,6,39
"Butera, D",COL,Battery,C,61,163,13,31,9,0,3,21,15,39
"Roark, T",WSH,Battery,P,29,58,6,11,2,1,0,8,1,19
"Dyson, J",ARI,Outfield,CF,67,206,29,39,4,2,2,12,27,34
"Ciuffo, N",TB,Battery,C,16,37,3,7,1,0,1,5,3,12
"Reyes, J",NYM,Infield,3B,110,228,30,43,12,3,4,16,22,39
"Bandy, J",MIL,Battery,C,24,64,5,12,2,0,1,1,3,23
"Bostick, C",MIA,Outfield,LF,15,16,0,3,1,0,0,2,2,7
"Lopez, P",MIA,Battery,P,11,16,1,3,0,0,0,0,1,8
"Rodriguez, J",WSH,Battery,P,14,16,2,3,1,0,0,1,0,8
"Szczur, M",SD,Outfield,RF,57,75,11,14,3,0,1,6,8,24
"Phillips, B",KC,Outfield,RF,51,134,15,25,4,3,2,11,11,61
"Moroff, M",PIT,Infield,SS,26,59,7,11,1,0,3,9,7,24
"Sanchez, G",NYY,Battery,C,89,323,51,60,17,0,18,53,46,94
"Morrison, L",MIN,Infield,1B,95,318,41,59,13,0,15,39,34,80
"Alberto, H",TEX,Infield,SS,13,27,0,5,2,0,0,0,2,4
"Miley, W",MIL,Battery,P,16,27,1,5,0,0,0,0,1,11
"Shaw, C",SF,Outfield,LF,22,54,2,10,2,0,1,7,7,23
"Luplow, J",PIT,Outfield,RF,37,92,16,17,1,3,3,7,10,18
"Herrera, D",CIN,Infield,2B,53,87,11,16,5,0,5,11,8,39
"Robinson, D",TEX,Outfield,CF,47,109,20,20,3,0,3,9,16,57
"Beckham, G",SEA,Infield,2B,22,44,3,8,1,0,0,1,4,11
"Locastro, T",LAD,Outfield,CF,18,11,6,2,1,0,0,0,2,5
"Maxwell, B",OAK,Battery,C,18,55,5,10,4,0,1,6,2,13
"Sisco, C",BAL,Battery,C,63,160,13,29,8,0,2,16,13,66
"Altherr, A",PHI,Outfield,CF,105,243,28,44,11,1,8,38,36,91
"Alvarez, P",BAL,Infield,3B,45,111,18,20,2,0,8,18,16,36
"Fowler, D",STL,Outfield,RF,90,289,40,52,10,0,8,31,38,75
"Broxton, K",MIL,Outfield,CF,51,78,15,14,2,2,4,11,11,28
"Almonte, A",KC,Outfield,CF,50,134,15,24,1,2,3,9,15,36
"Mejia, F",SD,Battery,C,21,56,6,10,2,0,3,8,5,19
"Santana, D",ATL,Outfield,CF,15,28,4,5,3,0,0,2,3,11
"Torres, R",KC,Infield,2B,9,28,4,5,1,0,0,1,1,3
"Dixon, B",CIN,Infield,2B,74,118,14,21,6,0,5,10,6,43
"Wallach, C",MIA,Battery,C,15,45,4,8,1,0,1,5,4,23
"Ward, T",LAA,Infield,3B,40,135,14,24,3,0,6,15,9,45
"Wilson, B",CHC,Battery,C,47,135,12,24,8,0,2,16,12,37
"Leon, S",BOS,Battery,C,89,265,30,47,12,0,5,22,15,75
"Valentin, J",PHI,Infield,3B,46,79,8,14,5,1,1,6,8,24
"Lee, B",MIA,Outfield,CF,8,17,0,3,0,0,0,2,1,8
"Lopez, R",SD,Battery,C,37,102,11,18,2,0,3,13,13,43
"Brito, S",ARI,Outfield,RF,24,40,3,7,0,0,1,3,3,9
"Teheran, J",ATL,Battery,P,28,40,2,7,0,0,1,4,1,8
"Davis, J",HOU,Infield,3B,42,103,9,18,2,0,1,5,10,29
"Castro, D",COL,Infield,2B,18,46,2,8,1,0,1,6,1,7
"Wilkerson, S",BAL,Infield,2B,16,46,2,8,3,0,0,3,3,16
"Rivera, Y",MIA,Infield,3B,111,139,13,24,3,0,1,9,19,51
"Wolters, T",COL,Battery,C,74,182,19,31,4,4,3,27,26,33
"Drury, B",TOR,Infield,3B,26,77,5,13,4,0,1,10,7,20
"Severino, P",WSH,Battery,C,70,190,14,32,9,0,2,15,18,47
"Young, C",LAA,Outfield,RF,56,113,17,19,2,1,6,13,11,37
"Davis, C",BAL,Infield,1B,128,470,40,79,12,0,16,49,41,192
"Perez, R",CLE,Battery,C,62,179,16,30,9,1,2,19,21,70
"Butler, D",BOS,Battery,C,2,6,0,1,0,0,0,1,0,2
"Cishek, S",CHC,Battery,P,76,6,1,1,0,0,0,0,0,2
"Cobb, A",BAL,Battery,P,3,6,0,1,0,0,0,0,0,2
"Guerrero, G",CIN,Outfield,RF,14,18,1,3,0,0,1,1,0,8
"Higashioka, K",NYY,Battery,C,29,72,6,12,2,0,3,6,6,16
"Hudson, J",LAA,Battery,C,8,12,0,2,1,0,0,1,0,0
"Marrero, D",ARI,Infield,3B,49,78,11,13,1,1,0,7,6,23
"Morton, C",HOU,Battery,P,3,6,0,1,0,0,0,0,0,5
