Name,Team,Group,Position,Games_Played,AB,R,H,Doubles,Triples,HR,RBI,Walks,Strike_Outs
"Navarro, E",CHC,Infield,1B,4,6,0,1,0,0,0,0,0,4
"Nido, T",NYM,Battery,C,34,84,10,14,3,0,1,9,4,27
"Orlando, P",KC,Outfield,RF,25,90,6,15,3,0,0,5,3,25
"Powell, B",OAK,Outfield,CF,7,24,3,4,1,1,0,0,1,6
"Refsnyder, R",TB,Outfield,LF,40,84,10,14,3,0,2,5,18,26
"Reinheimer, J",NYM,Infield,SS,21,30,4,5,0,0,0,0,5,9
"Rodriguez, S",PIT,Infield,2B,66,150,21,25,5,1,5,19,22,60
"Shields, J",CWS,Battery,P,3,6,0,1,0,0,0,0,0,3
"Sierra, M",WSH,Outfield,LF,27,54,4,9,2,0,0,4,2,20
"Snyder, B",TB,Infield,1B,2,6,0,1,1,0,0,0,0,2
"Suarez, R",PHI,Battery,P,4,6,0,1,0,1,0,0,0,2
"Wade, T",NYY,Infield,SS,36,66,8,11,4,0,1,5,4,23
"Avila, A",ARI,Battery,C,80,194,13,32,6,0,7,20,37,90
"Fisher, D",HOU,Outfield,CF,42,79,13,13,2,2,4,11,5,42
"DeGrom, J",NYM,Battery,P,30,67,1,11,1,0,0,5,4,25
"Walker, C",ARI,Infield,1B,37,49,6,8,2,0,3,6,3,22
"Buehler, W",LAD,Battery,P,22,43,1,7,0,0,0,1,2,21
"Centeno, J",TEX,Battery,C,10,37,3,6,1,0,1,3,1,7
"Musgrove, J",PIT,Battery,P,19,31,2,5,1,0,0,0,0,12
"Straily, D",MIA,Battery,P,25,31,2,5,1,0,0,1,8,19
"Chacin, J",MIL,Battery,P,34,56,2,9,1,0,0,1,3,17
"Chatwood, T",CHC,Battery,P,23,25,3,4,0,0,0,2,1,6
"Bumgarner, M",SF,Battery,P,21,44,2,7,2,0,0,4,1,20
"Cozens, D",PHI,Outfield,RF,26,38,2,6,2,0,1,2,6,24
"Weaver, L",STL,Battery,P,33,38,4,6,0,0,0,2,1,14
"Valaika, P",COL,Infield,3B,68,122,8,19,5,0,2,5,9,30
"Buxton, B",MIN,Outfield,CF,28,90,8,14,4,0,0,4,3,28
"Cruz, T",CIN,Battery,C,9,26,2,4,1,0,1,2,0,11
"Reynolds, M",WSH,Infield,SS,12,13,1,2,0,0,0,1,1,4
"Flaherty, J",STL,Battery,P,28,46,2,7,0,0,0,0,2,20
"Brault, S",PIT,Battery,P,43,20,0,3,1,0,0,0,1,5
"Chen, W",MIA,Battery,P,26,40,2,6,1,0,0,2,0,18
"Vargas, J",NYM,Battery,P,20,27,2,4,0,0,0,0,1,8
"Motter, T",MIN,Infield,SS,16,34,2,5,0,0,1,2,4,8
"Castro, J",MIN,Battery,C,19,63,4,9,3,0,1,3,9,26
"DeSclafani, A",CIN,Battery,P,20,42,3,6,0,0,1,4,0,25
"Evans, P",NYM,Infield,3B,15,21,1,3,0,0,0,1,2,8
"Kuhl, C",PIT,Battery,P,17,21,2,3,0,0,0,1,0,5
"Lobaton, J",NYM,Battery,C,22,49,3,7,2,1,0,4,7,15
"Mikolas, M",STL,Battery,P,32,63,4,9,1,0,2,6,2,33
"Perez, C",TEX,Battery,C,28,70,1,10,2,0,1,3,2,21
"Peters, D",MIA,Battery,P,7,7,1,1,0,0,0,0,1,2
"Robinson, S",NYY,Outfield,LF,25,49,8,7,1,0,1,2,4,6
"Vielma, E",BAL,Infield,SS,6,7,1,1,0,0,0,0,1,4
"Tucker, K",HOU,Outfield,RF,28,64,10,9,2,1,0,4,6,13
"Stratton, C",SF,Battery,P,28,43,0,6,1,0,0,5,0,26
"Pennington, C",TEX,Infield,2B,16,29,1,4,0,0,0,0,5,13
"Smith, C",MIA,Battery,P,15,22,0,3,0,0,0,1,0,13
"Kramer, K",PIT,Infield,2B,21,37,5,5,0,0,0,4,2,20
"Sogard, E",MIL,Infield,2B,55,97,7,13,3,0,0,2,12,23
"Cowart, K",LAA,Infield,SS,47,112,7,15,7,1,1,10,10,44
"Arrieta, J",PHI,Battery,P,28,45,3,6,0,0,1,3,3,27
"Rasmus, C",BAL,Outfield,RF,18,45,5,6,1,0,1,1,3,19
"Phillips, B",BOS,Infield,2B,9,23,4,3,0,0,1,2,4,7
"Smolinski, J",OAK,Outfield,CF,19,39,2,5,1,1,0,2,1,10
"Syndergaard, N",NYM,Battery,P,23,47,0,6,2,0,0,3,1,32
"Fried, M",ATL,Battery,P,14,8,1,1,0,0,0,0,0,3
"Gosselin, P",ATL,Infield,2B,20,24,5,3,0,0,1,2,4,8
"Guerra, J",SD,Infield,SS,13,16,2,2,0,0,0,1,3,9
"Haase, E",CLE,Battery,C,9,16,0,2,0,0,0,1,0,6
"Heaney, A",LAA,Battery,P,3,8,1,1,0,0,0,0,0,6
"Soroka, M",ATL,Battery,P,4,8,0,1,0,0,0,0,0,1
"Strasburg, S",WSH,Battery,P,22,41,0,5,0,0,0,1,2,12
"Hamels, C",CHC,Battery,P,12,25,1,3,0,0,1,1,1,12
"Lester, J",CHC,Battery,P,31,59,4,7,0,0,1,9,0,22
"Archer, C",PIT,Battery,P,9,17,0,2,1,0,0,0,0,6
"Garcia, J",STL,Outfield,RF,21,17,3,2,1,0,0,1,0,7
"Thompson, T",CWS,Outfield,RF,51,128,15,15,3,0,3,9,7,50
"Williams, T",PIT,Battery,P,28,43,3,5,0,0,0,0,2,13
"Bailey, H",CIN,Battery,P,19,26,0,3,0,0,0,0,1,13
"Headley, C",SD,Infield,3B,27,52,2,6,1,0,0,4,6,20
"Susac, A",BAL,Battery,C,9,26,1,3,1,0,0,0,0,12
"Guerra, J",MIL,Battery,P,29,35,2,4,3,0,0,0,0,13
"Kelly, C",STL,Battery,C,19,35,1,4,0,0,0,3,3,7
"Eovaldi, N",BOS,Battery,P,6,9,2,1,0,0,0,1,1,7
"Gonzalez, A",CWS,Battery,C,3,9,0,1,0,0,0,1,0,4
"Marjama, M",SEA,Battery,C,10,27,1,3,3,0,0,0,2,6
"Mitchell, B",SD,Battery,P,14,18,0,2,0,0,0,0,0,10
"Poncedeleon, D",STL,Battery,P,10,9,0,1,0,1,0,1,0,4
"Sardinas, L",BAL,Infield,2B,8,18,2,2,0,0,1,1,2,5
"Matz, S",NYM,Battery,P,29,46,2,5,1,0,2,4,3,13
"Cordell, R",CWS,Outfield,CF,19,37,3,4,1,0,1,4,0,15
"Alford, A",TOR,Outfield,CF,13,19,3,2,0,0,0,1,2,9
"Mahle, T",CIN,Battery,P,21,29,0,3,1,0,0,0,2,10
"McCarthy, B",ATL,Battery,P,15,29,1,3,2,0,0,2,0,19
"Blash, J",LAA,Outfield,RF,24,39,4,4,1,0,0,1,5,24
"Castillo, L",CIN,Battery,P,30,59,4,6,1,0,0,2,2,23
"Anderson, T",COL,Battery,P,32,50,7,5,0,0,0,1,3,32
"Pivetta, N",PHI,Battery,P,31,40,3,4,1,0,0,1,2,20
"Samardzija, J",SF,Battery,P,8,10,0,1,0,0,0,0,0,6
"Toussaint, T",ATL,Battery,P,8,10,1,1,0,0,0,0,0,5
"Gerber, M",DET,Outfield,CF,18,42,2,4,1,0,0,2,4,21
"Orf, N",MIL,Infield,2B,15,21,4,2,0,0,1,1,3,8
"Richard, C",SD,Battery,P,26,42,3,4,1,0,1,3,2,24
"Maeda, K",LAD,Battery,P,39,32,0,3,0,0,0,0,0,9
"Rodriguez, D",SF,Battery,P,20,32,0,3,1,0,0,1,0,16
"Tauchman, M",COL,Outfield,CF,21,32,5,3,1,0,0,0,4,15
"Hill, R",LAD,Battery,P,23,43,2,4,0,0,0,2,0,15
"Freeland, K",COL,Battery,P,30,65,5,6,2,0,0,2,2,40
"Eflin, Z",PHI,Battery,P,25,44,3,4,0,0,1,1,0,31
"Fontana, N",LAA,Infield,SS,8,11,1,1,0,0,1,1,1,6
"Kelly, T",NYM,Infield,2B,9,11,1,1,0,0,0,0,1,2
"Lugo, S",NYM,Battery,P,50,11,1,1,0,0,0,0,1,8
"Montgomery, M",CHC,Battery,P,37,33,1,3,0,0,0,1,1,20
"Pedroia, D",BOS,Infield,2B,3,11,1,1,0,0,0,0,2,1
"Stripling, R",LAD,Battery,P,35,33,0,3,0,0,0,2,0,13
"Wainwright, A",STL,Battery,P,8,11,0,1,0,0,0,1,0,6
"Anderson, C",MIL,Battery,P,28,45,1,4,0,0,0,2,0,23
"Bettis, C",COL,Battery,P,26,34,2,3,0,0,0,2,2,18
"Kingham, N",PIT,Battery,P,18,23,1,2,1,0,0,4,1,10
"Darvish, Y",CHC,Battery,P,8,12,0,1,1,0,0,0,0,7
"Ruiz, R",ATL,Infield,3B,14,12,1,1,0,0,0,0,2,5
"Senzatela, A",COL,Battery,P,22,24,1,2,1,0,0,3,0,13
"Wacha, M",STL,Battery,P,15,25,3,2,0,0,0,1,1,9
"Gonzalez, G",MIL,Battery,P,29,51,3,4,1,0,0,1,1,31
"Gray, J",COL,Battery,P,29,52,2,4,2,0,0,2,3,30
"Quintana, J",CHC,Battery,P,30,52,0,4,0,0,0,0,0,26
"Ray, R",ARI,Battery,P,24,39,2,3,1,0,0,2,0,24
"Harvey, M",CIN,Battery,P,32,53,1,4,0,0,0,1,2,19
"Taillon, J",PIT,Battery,P,30,57,0,4,1,0,0,3,1,22
"Davies, Z",MIL,Battery,P,12,15,0,1,0,0,0,0,0,8
"Hendricks, K",CHC,Battery,P,31,60,1,4,1,0,0,1,2,31
"Lauer, E",SD,Battery,P,23,30,1,2,1,0,0,1,1,15
"Buchholz, C",ARI,Battery,P,16,31,0,2,1,0,0,1,1,17
"Gant, J",STL,Battery,P,27,31,2,2,0,0,2,3,0,14
"Richards, T",MIA,Battery,P,22,31,1,2,0,0,0,2,1,17
"Suarez, A",SF,Battery,P,27,47,1,3,0,0,0,0,2,27
"Fedde, E",WSH,Battery,P,10,16,1,1,0,0,0,0,1,5
"Hellickson, J",WSH,Battery,P,18,32,0,2,1,0,0,1,0,13
"Koch, M",ARI,Battery,P,18,17,1,1,0,0,0,0,3,11
"Lucchesi, J",SD,Battery,P,24,34,2,2,0,0,0,1,4,21
"Walding, M",PHI,Infield,3B,13,17,1,1,0,0,1,2,2,12
"Godley, Z",ARI,Battery,P,32,53,1,3,0,0,0,1,4,30
"Holland, D",SF,Battery,P,34,53,2,3,1,0,0,0,1,33
"Ngoepe, G",TOR,Infield,SS,13,18,2,1,0,0,0,0,1,12
"Romano, S",CIN,Battery,P,35,36,1,2,1,0,0,2,0,24
"Foltynewicz, M",ATL,Battery,P,30,58,3,3,1,0,0,4,0,41
"Nola, A",PHI,Battery,P,32,62,0,3,1,0,0,4,1,36
"Gausman, K",ATL,Battery,P,12,21,0,1,0,0,0,0,4,11
"Wood, A",LAD,Battery,P,31,44,1,2,0,0,0,0,0,25
"Newcomb, S",ATL,Battery,P,28,45,3,2,1,0,0,1,1,32
"Urena, J",MIA,Battery,P,30,48,1,2,1,0,0,1,1,35
"Peralta, F",MIL,Battery,P,15,26,0,1,0,0,0,1,0,13
"Blach, T",SF,Battery,P,49,29,0,1,0,0,0,0,2,15
"Sanchez, A",ATL,Battery,P,23,41,0,1,0,0,0,0,1,25
"Nova, I",PIT,Battery,P,27,53,1,1,0,0,0,0,0,30
"Alcantara, S",MIA,Battery,P,6,12,0,0,0,0,0,0,1,8
"Alexander, S",LAD,Battery,P,67,5,0,0,0,0,0,0,0,5
"Almonte, Y",COL,Battery,P,14,1,0,0,0,0,0,0,0,0
"Anderson, D",PHI,Battery,P,5,3,0,0,0,0,0,0,0,1
"Anderson, T",PIT,Battery,P,6,1,0,0,0,0,0,0,0,0
"Andriese, M",ARI,Battery,P,16,1,0,0,0,0,0,0,0,1
"Aquino, A",CIN,Outfield,RF,1,1,0,0,0,0,0,0,0,1
"Avilan, L",PHI,Battery,P,14,1,0,0,0,0,0,0,0,1
"Baez, P",LAD,Battery,P,53,4,0,0,0,0,0,0,0,2
"Barria, J",LAA,Battery,P,2,5,0,0,0,0,0,0,0,1
"Bashlor, T",NYM,Battery,P,22,1,0,0,0,0,0,0,0,1
"Bauer, T",CLE,Battery,P,1,3,1,0,0,0,0,0,0,1
"Baumann, B",NYM,Battery,P,4,1,0,0,0,0,0,0,0,0
"Bautista, R",WSH,Outfield,CF,9,6,1,0,0,0,0,0,0,1
"Beck, C",NYM,Battery,P,10,2,0,0,0,0,0,0,0,2
"Beede, T",SF,Battery,P,2,2,0,0,0,0,0,0,0,2
"Beeks, J",TB,Battery,P,1,2,0,0,0,0,0,0,0,1
"Berrios, J",MIN,Battery,P,2,4,0,0,0,0,0,0,0,2
"Betances, D",NYY,Battery,P,5,1,0,0,0,0,0,0,0,1
"Blackburn, P",OAK,Battery,P,1,2,0,0,0,0,0,0,0,0
"Bowman, M",STL,Battery,P,21,1,0,0,0,0,0,0,0,0
"Boyd, M",DET,Battery,P,2,2,0,0,0,0,0,0,0,2
"Brebbia, J",STL,Battery,P,43,2,0,0,0,0,0,0,0,1
"Brice, A",CIN,Battery,P,32,1,0,0,0,0,0,0,0,1
"Butler, E",TEX,Battery,P,11,2,0,0,0,0,0,0,1,0
"Carle, S",ATL,Battery,P,51,4,0,0,0,0,0,0,0,4
"Cashner, A",BAL,Battery,P,2,3,0,0,0,0,0,0,0,1
"Castillo, D",TB,Battery,P,5,1,0,0,0,0,0,0,0,1
"Castillo, J",SD,Battery,P,34,1,0,0,0,0,0,1,0,0
"Cessa, L",NYY,Battery,P,1,1,0,0,0,0,0,0,0,1
"Chargois, J",LAD,Battery,P,35,1,0,0,0,0,0,0,0,0
"Chavez, J",CHC,Battery,P,30,1,0,0,0,0,0,0,0,1
"Chirinos, Y",TB,Battery,P,1,1,0,0,0,0,0,0,0,1
"Cimber, A",CLE,Battery,P,38,4,0,0,0,0,0,0,0,3
"Clevinger, M",CLE,Battery,P,2,4,0,0,0,0,0,0,0,4
"Cloyd, T",MIA,Battery,P,6,3,0,0,0,0,0,0,0,2
"Cole, G",HOU,Battery,P,3,9,0,0,0,0,0,0,0,8
"Colon, B",TEX,Battery,P,2,4,0,0,0,0,0,0,0,3
"Corcino, D",LAD,Battery,P,2,1,0,0,0,0,0,0,0,1
"Covey, D",CWS,Battery,P,1,1,0,0,0,0,0,0,0,1
"Cueto, J",SF,Battery,P,7,12,0,0,0,0,0,0,0,3
"Davis, A",PHI,Battery,P,31,3,0,0,0,0,0,0,0,3
"De La Rosa, J",CHC,Battery,P,57,1,1,0,0,0,0,0,1,0
"De Los Santos, E",PHI,Battery,P,7,3,0,0,0,0,0,0,0,2
"Den Dekker, M",NYM,Outfield,CF,8,18,0,0,0,0,0,1,2,9
"Dominguez, S",PHI,Battery,P,48,1,0,0,0,0,0,0,1,1
"Duensing, B",CHC,Battery,P,47,1,1,0,0,0,0,0,1,1
"Duffy, D",KC,Battery,P,1,2,0,0,0,0,0,0,0,2
"Duke, Z",SEA,Battery,P,5,1,0,0,0,0,0,0,0,1
"Eickhoff, J",PHI,Battery,P,3,1,0,0,0,0,0,0,0,1
"Estrada, M",TOR,Battery,P,1,1,0,0,0,0,0,0,0,1
"Farrell, L",LAA,Battery,P,19,4,0,0,0,0,0,0,0,3
"Feliz, M",PIT,Battery,P,44,2,0,0,0,0,0,0,0,1
"Finnegan, B",CIN,Battery,P,5,7,0,0,0,0,0,0,0,1
"Floro, D",LAD,Battery,P,48,4,0,0,0,0,0,0,0,2
"Flynn, B",KC,Battery,P,3,1,0,0,0,0,0,0,0,0
"Franklin, N",MIL,Infield,2B,1,2,0,0,0,0,0,0,0,0
"Freeman, S",ATL,Battery,P,59,1,0,0,0,0,0,0,0,1
"Fulmer, M",DET,Battery,P,3,6,0,0,0,0,0,0,0,4
"Gagnon, D",NYM,Battery,P,4,1,0,0,0,0,0,1,0,0
"Gale, R",LAD,Battery,C,3,2,0,0,0,0,0,0,0,1
"Gallardo, Y",TEX,Battery,P,4,1,0,0,0,0,0,0,0,0
"Gallegos, G",STL,Battery,P,3,1,0,0,0,0,0,0,0,0
"Garcia, J",CHC,Battery,P,9,4,0,0,0,0,0,0,0,4
"Garcia, J",MIA,Battery,P,28,9,0,0,0,0,0,0,1,7
"Garrett, A",CIN,Battery,P,60,2,0,0,0,0,0,0,0,1
"German, D",NYY,Battery,P,2,1,0,0,0,0,0,0,1,1
"Giolito, L",CWS,Battery,P,3,6,0,0,0,0,0,0,0,4
"Glasnow, T",TB,Battery,P,32,3,0,0,0,0,0,0,0,3
"Gohara, L",ATL,Battery,P,8,2,0,0,0,0,0,0,0,2
"Gomez, R",SF,Battery,P,5,2,0,0,0,0,0,0,0,2
"Gonzales, M",SEA,Battery,P,1,2,0,0,0,0,0,0,0,2
"Graves, B",MIA,Battery,P,19,2,0,0,0,0,0,0,0,1
"Gray, S",NYY,Battery,P,1,2,1,0,0,0,0,0,0,0
"Gsellman, R",NYM,Battery,P,64,3,1,0,0,0,0,0,0,2
"Hammel, J",KC,Battery,P,2,3,0,0,0,0,0,0,0,2
"Hancock, J",CHC,Battery,P,10,2,0,0,0,0,0,0,0,2
"Hand, B",CLE,Battery,P,40,1,0,0,0,0,0,0,0,0
"Hembree, H",BOS,Battery,P,6,1,0,0,0,0,0,0,0,1
"Hernandez, D",CIN,Battery,P,53,1,0,0,0,0,0,0,0,0
"Hernandez, E",MIA,Battery,P,32,11,0,0,0,0,0,0,0,7
"Hernandez, F",SEA,Battery,P,2,4,0,0,0,0,0,0,0,0
"Hess, D",BAL,Battery,P,3,2,2,0,0,0,0,0,1,0
"Hicks, J",STL,Battery,P,67,1,0,0,0,0,0,0,0,1
"Hill, T",KC,Battery,P,5,1,0,0,0,0,0,0,0,1
"Hirano, Y",ARI,Battery,P,70,1,0,0,0,0,0,0,0,0
"Holmes, C",PIT,Battery,P,11,6,1,0,0,0,0,0,0,2
"Hudson, D",STL,Battery,P,24,1,0,0,0,0,0,0,0,0
"Hudson, D",LAD,Battery,P,37,2,0,0,0,0,0,0,0,1
"Hughes, P",SD,Battery,P,17,1,0,0,0,0,0,0,0,0
"Hunter, T",PHI,Battery,P,60,1,0,0,0,0,0,0,0,0
"Iglesias, R",CIN,Battery,P,62,3,0,0,0,0,0,0,0,1
"Jackson, E",OAK,Battery,P,1,2,0,0,0,0,0,0,0,0
"Jackson, L",ATL,Battery,P,33,1,1,0,0,0,0,0,1,0
"Johnson, P",SF,Battery,P,35,1,0,0,0,0,0,0,0,0
"Johnson, S",LAA,Infield,2B,10,10,0,0,0,0,0,0,0,4
"Junis, J",KC,Battery,P,2,2,0,0,0,0,0,0,0,1
"Kaczmarski, K",NYM,Outfield,RF,4,4,0,0,0,0,0,0,1,1
"Kelley, S",OAK,Battery,P,32,1,0,0,0,0,0,0,0,1
"Kelly, C",SF,Battery,P,7,4,0,0,0,0,0,0,0,3
"Kennedy, B",SD,Battery,P,6,8,0,0,0,0,0,0,0,4
"Keuchel, D",HOU,Battery,P,1,2,0,0,0,0,0,0,0,2
"Kintzler, B",CHC,Battery,P,67,1,0,0,0,0,0,0,0,1
"Kittredge, A",TB,Battery,P,3,1,0,0,0,0,0,0,0,1
"Kluber, C",CLE,Battery,P,3,6,0,0,0,0,0,0,0,4
"Leake, M",SEA,Battery,P,2,4,0,0,0,0,0,0,0,4
"Leiter Jr., M",TOR,Battery,P,12,3,0,0,0,0,0,0,0,2
"Liberatore, A",LAD,Battery,P,17,1,1,0,0,0,0,0,0,0
"Liriano, F",DET,Battery,P,1,1,0,0,0,0,0,0,0,0
"Lively, B",KC,Battery,P,6,7,0,0,0,0,0,0,0,2
"Loaisiga, J",NYY,Battery,P,1,2,0,0,0,0,0,0,0,2
"Lockett, W",SD,Battery,P,4,4,0,0,0,0,0,0,1,4
"Lopez, R",CWS,Battery,P,1,1,0,0,0,0,0,0,0,1
"Lyles, J",MIL,Battery,P,36,15,3,0,0,0,0,1,3,8
"Lynn, L",NYY,Battery,P,3,4,0,0,0,0,0,0,0,2
"Magill, M",MIN,Battery,P,3,1,0,0,0,0,0,0,0,1
"Makita, K",SD,Battery,P,25,3,0,0,0,0,0,0,0,2
"Mayers, M",STL,Battery,P,48,1,0,0,0,0,0,0,1,1
"McCullers Jr., L",HOU,Battery,P,1,2,0,0,0,0,0,0,0,1
"McFarland, T",ARI,Battery,P,46,7,0,0,0,0,0,0,0,6
"McGowin, K",WSH,Battery,P,5,2,1,0,0,0,0,0,0,0
"McGrath, K",SD,Battery,P,4,1,0,0,0,0,0,0,0,0
"McRae, A",PIT,Battery,P,2,2,0,0,0,0,0,0,0,0
"Medlen, K",ARI,Battery,P,1,1,0,0,0,0,0,0,0,1
"Mejia, A",MIN,Battery,P,1,1,0,0,0,0,0,0,0,1
"Mella, K",CIN,Battery,P,4,2,0,0,0,0,0,0,0,2
"Mendez, Y",TEX,Battery,P,1,2,0,0,0,0,0,0,0,1
"Meyer, B",MIA,Battery,P,13,1,0,0,0,0,0,0,0,0
"Miller, A",CLE,Battery,P,3,1,0,0,0,0,0,0,0,1
"Miller, J",WSH,Battery,P,46,1,0,0,0,0,0,0,0,0
"Miller, S",ARI,Battery,P,5,3,0,0,0,0,0,1,1,1
"Milone, T",WSH,Battery,P,5,7,0,0,0,0,0,0,1,3
"Montas, F",OAK,Battery,P,2,5,0,0,0,0,0,0,0,5
"Montero, M",WSH,Battery,C,4,11,0,0,0,0,0,0,2,3
"Moronta, R",SF,Battery,P,63,1,0,0,0,0,0,0,0,1
"Morrow, B",CHC,Battery,P,35,1,0,0,0,0,0,0,0,1
"Musgrave, H",COL,Battery,P,32,3,0,0,0,0,0,0,0,1
"Neris, H",PHI,Battery,P,49,1,0,0,0,0,0,0,0,1
"Nix, J",SD,Battery,P,9,15,0,0,0,0,0,0,0,11
"Norris, D",DET,Battery,P,2,2,0,0,0,0,0,0,0,1
"Norwood, J",CHC,Battery,P,10,3,0,0,0,0,0,0,0,1
"Odorizzi, J",MIN,Battery,P,4,6,0,0,0,0,0,0,0,2
"Oswalt, C",NYM,Battery,P,15,18,0,0,0,0,0,0,0,10
"Parsons, W",ATL,Battery,P,1,1,0,0,0,0,0,0,0,1
"Peacock, B",HOU,Battery,P,3,1,0,0,0,0,0,0,0,1
"Pena, F",LAA,Battery,P,3,6,0,0,0,0,0,0,0,1
"Peralta, W",CIN,Battery,P,56,1,0,0,0,0,0,0,0,1
"Perez, M",TEX,Battery,P,3,3,0,0,0,0,0,0,0,3
"Peterson, D",DET,Outfield,RF,2,2,0,0,0,0,0,0,0,1
"Peterson, T",NYM,Battery,P,19,2,0,0,0,0,0,0,0,1
"Petricka, J",TOR,Battery,P,2,1,0,0,0,0,0,0,0,1
"Ramirez, E",SEA,Battery,P,2,3,0,0,0,0,0,0,0,2
"Ramirez, N",CLE,Battery,P,3,1,0,0,0,0,0,0,0,1
"Ramirez, Y",BAL,Battery,P,1,2,0,0,0,0,0,0,0,1
"Reed, A",HOU,Infield,1B,1,3,0,0,0,0,0,0,0,1
"Reed, C",CIN,Battery,P,17,11,0,0,0,0,0,0,1,10
"Reid-Foley, S",TOR,Battery,P,1,3,0,0,0,0,0,0,0,3
"Reyes, A",STL,Battery,P,1,1,0,0,0,0,0,0,0,1
"Rhame, J",NYM,Battery,P,29,1,0,0,0,0,0,0,0,1
"Rios, Y",PHI,Battery,P,35,1,0,0,0,0,0,0,0,1
"Robles, H",LAA,Battery,P,19,1,0,0,0,0,0,0,0,1
"Rodriguez, E",BOS,Battery,P,1,2,0,0,0,0,0,0,0,1
"Rodriguez, R",PIT,Battery,P,61,2,0,0,0,0,0,0,0,2
"Romero, F",MIN,Battery,P,1,3,0,0,0,0,0,0,0,3
"Romo, S",TB,Battery,P,5,1,0,0,0,0,0,0,0,1
"Ross, J",WSH,Battery,P,3,5,0,0,0,0,0,0,0,3
"Rucinski, D",MIA,Battery,P,31,4,0,0,0,0,0,0,0,3
"Sadler, C",PIT,Battery,P,2,2,0,0,0,0,0,0,0,1
"Salas, F",ATL,Battery,P,39,1,0,0,0,0,0,0,0,0
"Sale, C",BOS,Battery,P,1,2,0,0,0,0,0,0,0,2
"Saltalamacchia, J",DET,Battery,C,5,7,0,0,0,0,0,0,1,4
"Sanchez, A",TOR,Battery,P,1,1,0,0,0,0,0,0,0,0
"Santiago, H",CWS,Battery,P,5,4,0,0,0,0,0,0,0,2
"Saupold, W",DET,Battery,P,3,1,0,0,0,0,0,0,0,1
"Scribner, T",ARI,Battery,P,1,1,0,0,0,0,0,0,0,1
"Severino, L",NYY,Battery,P,2,5,0,0,0,0,0,0,0,4
"Sewald, P",NYM,Battery,P,44,5,0,0,0,0,0,0,0,2
"Shackelford, K",CIN,Battery,P,4,1,0,0,0,0,0,0,0,1
"Shipley, B",ARI,Battery,P,3,2,1,0,0,0,0,0,0,0
"Shreve, C",STL,Battery,P,22,1,0,0,0,0,0,0,0,1
"Sims, L",CIN,Battery,P,8,2,0,0,0,0,0,0,0,1
"Skoglund, E",KC,Battery,P,2,3,0,0,0,0,0,0,0,2
"Snell, B",TB,Battery,P,1,1,0,0,0,0,0,0,1,1
"Snelten, D",BAL,Battery,P,4,1,0,0,0,0,0,0,0,1
"Sosa, E",STL,Infield,SS,3,2,1,0,0,0,0,0,1,1
"Stephens, J",CIN,Battery,P,28,2,0,0,0,0,0,0,1,1
"Stephenson, R",CIN,Battery,P,4,2,0,0,0,0,0,0,1,1
"Stewart, B",LAD,Battery,P,9,2,0,0,0,0,0,0,0,2
"Strahm, M",SD,Battery,P,39,8,0,0,0,0,0,0,0,4
"Strop, P",CHC,Battery,P,57,2,0,0,0,0,0,0,0,0
"Suero, W",WSH,Battery,P,38,3,0,0,0,0,0,0,0,1
"Sweeney, D",TOR,Outfield,LF,2,2,0,0,0,0,0,0,2,0
"Tanaka, M",NYY,Battery,P,3,6,1,0,0,0,0,0,0,1
"Thompson, J",MIL,Battery,P,9,2,0,0,0,0,0,0,0,2
"Turnbull, S",DET,Battery,P,1,2,0,0,0,0,0,0,0,1
"Underwood Jr., D",CHC,Battery,P,1,1,0,0,0,0,0,0,0,0
"Urias, J",LAD,Battery,P,3,1,0,0,0,0,0,0,0,1
"Vazquez, F",PIT,Battery,P,64,1,0,0,0,0,0,0,0,1
"Velazquez, H",BOS,Battery,P,3,1,0,0,0,0,0,0,0,0
"VerHagen, D",DET,Battery,P,2,1,0,0,0,0,0,0,0,0
"Voth, A",WSH,Battery,P,4,2,0,0,0,0,0,0,0,1
"Walker, T",ARI,Battery,P,3,4,0,0,0,0,0,0,0,1
"Webb, T",STL,Battery,P,21,1,0,0,0,0,0,0,0,1
"Weber, R",TB,Battery,P,1,1,0,0,0,0,0,0,0,1
"Wilkerson, A",MIL,Battery,P,3,2,0,0,0,0,0,0,0,1
"Williams, J",STL,Outfield,LF,1,1,0,0,0,0,0,0,0,0
"Wilson, B",ATL,Battery,P,3,2,0,0,0,0,0,0,0,0
"Wilson, J",CHC,Battery,P,67,1,0,0,0,0,0,0,0,1
"Winkler, D",ATL,Battery,P,66,1,0,0,0,0,0,0,0,0
"Wisler, M",CIN,Battery,P,17,8,0,0,0,0,0,0,0,4
"Wright, Jr., D",BAL,Battery,P,3,1,0,0,0,0,0,0,0,0
"Wright, D",NYM,Infield,3B,2,2,0,0,0,0,0,0,1,0
"Yarbrough, R",TB,Battery,P,3,3,0,0,0,0,0,0,0,2
"Yates, K",SD,Battery,P,60,2,0,0,0,0,0,0,0,0
"Zimmermann, J",DET,Battery,P,2,2,0,0,0,0,0,0,0,2
