degree,HoursWorked,HoursRelax
GRADUATE,37,5
HIGH SCHOOL,50,5
HIGH SCHOOL,60,2
BACHELOR,50,1
HIGH SCHOOL,35,3
HIGH SCHOOL,40,4
GRADUATE,50,3
GRADUATE,50,2
HIGH SCHOOL,32,10
LT HIGH SCHOOL,40,5
HIGH SCHOOL,15,6
HIGH SCHOOL,40,4
GRADUATE,9,0
HIGH SCHOOL,9,4
GRADUATE,45,3
GRADUATE,60,5
HIGH SCHOOL,31,5
GRADUATE,12,2
HIGH SCHOOL,48,5
BACHELOR,45,2
HIGH SCHOOL,45,4
JUNIOR COLLEGE,40,5
GRADUATE,70,2
HIGH SCHOOL,60,0
BACHELOR,40,1
HIGH SCHOOL,40,2
BACHELOR,40,2
GRADUATE,40,5
BACHELOR,5,2
BACHELOR,60,2
BACHELOR,40,2
BACHELOR,40,1
HIGH SCHOOL,40,7
HIGH SCHOOL,40,3
GRADUATE,55,5
GRADUATE,45,2
BACHELOR,40,2
BACHELOR,20,5
HIGH SCHOOL,25,5
BACHELOR,40,2
BACHELOR,40,2
HIGH SCHOOL,27,7
BACHELOR,60,1
BACHELOR,50,3
HIGH SCHOOL,52,2
LT HIGH SCHOOL,41,3
HIGH SCHOOL,48,3
BACHELOR,40,1
JUNIOR COLLEGE,40,3
BACHELOR,40,4
LT HIGH SCHOOL,40,8
HIGH SCHOOL,9,1
HIGH SCHOOL,41,8
HIGH SCHOOL,40,7
HIGH SCHOOL,37,10
HIGH SCHOOL,20,6
HIGH SCHOOL,40,4
HIGH SCHOOL,70,3
LT HIGH SCHOOL,30,5
HIGH SCHOOL,50,0
HIGH SCHOOL,40,2
HIGH SCHOOL,50,0
HIGH SCHOOL,20,3
HIGH SCHOOL,51,4
GRADUATE,40,4
BACHELOR,65,4
BACHELOR,37,8
HIGH SCHOOL,75,2
GRADUATE,38,1
LT HIGH SCHOOL,34,4
HIGH SCHOOL,40,4
BACHELOR,68,3
HIGH SCHOOL,40,8
HIGH SCHOOL,40,3
HIGH SCHOOL,50,6
LT HIGH SCHOOL,40,8
HIGH SCHOOL,52,1
HIGH SCHOOL,40,3
JUNIOR COLLEGE,40,NA
HIGH SCHOOL,40,4
JUNIOR COLLEGE,39,4
JUNIOR COLLEGE,42,4
BACHELOR,40,6
LT HIGH SCHOOL,19,0
JUNIOR COLLEGE,59,3
HIGH SCHOOL,48,5
GRADUATE,40,2
JUNIOR COLLEGE,40,6
HIGH SCHOOL,45,1
GRADUATE,40,2
BACHELOR,50,2
BACHELOR,40,4
BACHELOR,60,2
GRADUATE,60,4
GRADUATE,50,4
HIGH SCHOOL,25,5
HIGH SCHOOL,55,8
BACHELOR,40,4
BACHELOR,45,1
JUNIOR COLLEGE,9,6
BACHELOR,50,1
HIGH SCHOOL,28,8
HIGH SCHOOL,20,5
HIGH SCHOOL,30,4
HIGH SCHOOL,37,5
HIGH SCHOOL,20,7
HIGH SCHOOL,30,2
JUNIOR COLLEGE,20,4
HIGH SCHOOL,30,2
HIGH SCHOOL,40,4
BACHELOR,50,3
HIGH SCHOOL,16,8
HIGH SCHOOL,30,3
JUNIOR COLLEGE,62,2
LT HIGH SCHOOL,40,8
GRADUATE,40,0
HIGH SCHOOL,45,9
LT HIGH SCHOOL,40,4
LT HIGH SCHOOL,40,3
BACHELOR,38,4
BACHELOR,40,4
BACHELOR,9,NA
BACHELOR,50,2
GRADUATE,20,4
BACHELOR,40,6
GRADUATE,45,2
GRADUATE,10,4
GRADUATE,60,2
JUNIOR COLLEGE,37,2
JUNIOR COLLEGE,52,2
BACHELOR,37,2
BACHELOR,50,1
BACHELOR,50,1
HIGH SCHOOL,40,8
HIGH SCHOOL,27,3
BACHELOR,60,2
BACHELOR,70,3
BACHELOR,40,5
GRADUATE,50,4
BACHELOR,45,4
HIGH SCHOOL,35,6
HIGH SCHOOL,40,4
BACHELOR,37,2
GRADUATE,55,3
HIGH SCHOOL,50,5
BACHELOR,52,4
BACHELOR,16,3
BACHELOR,52,3
HIGH SCHOOL,50,NA
BACHELOR,60,2
HIGH SCHOOL,60,2
BACHELOR,40,4
BACHELOR,35,20
GRADUATE,8,4
HIGH SCHOOL,40,5
HIGH SCHOOL,60,3
BACHELOR,60,5
BACHELOR,50,2
HIGH SCHOOL,50,3
BACHELOR,65,2
GRADUATE,50,2
JUNIOR COLLEGE,60,1
JUNIOR COLLEGE,40,4
BACHELOR,43,6
JUNIOR COLLEGE,1,5
BACHELOR,45,3
HIGH SCHOOL,20,10
BACHELOR,36,6
GRADUATE,40,3
JUNIOR COLLEGE,42,6
BACHELOR,40,4
HIGH SCHOOL,35,5
HIGH SCHOOL,42,7
HIGH SCHOOL,70,0
HIGH SCHOOL,50,4
GRADUATE,40,3
GRADUATE,40,2
HIGH SCHOOL,35,2
HIGH SCHOOL,16,3
GRADUATE,20,4
LT HIGH SCHOOL,36,1
HIGH SCHOOL,40,1
LT HIGH SCHOOL,26,5
BACHELOR,40,5
LT HIGH SCHOOL,27,0
JUNIOR COLLEGE,30,2
JUNIOR COLLEGE,56,1
LT HIGH SCHOOL,30,3
LT HIGH SCHOOL,48,4
HIGH SCHOOL,38,3
HIGH SCHOOL,40,16
JUNIOR COLLEGE,80,0
LT HIGH SCHOOL,50,2
HIGH SCHOOL,50,1
BACHELOR,35,3
HIGH SCHOOL,42,12
HIGH SCHOOL,28,9
HIGH SCHOOL,40,8
BACHELOR,40,4
LT HIGH SCHOOL,42,4
HIGH SCHOOL,50,3
HIGH SCHOOL,22,6
HIGH SCHOOL,40,6
BACHELOR,9,2
HIGH SCHOOL,40,0
BACHELOR,38,1
LT HIGH SCHOOL,50,2
HIGH SCHOOL,25,4
LT HIGH SCHOOL,32,0
HIGH SCHOOL,60,0
GRADUATE,40,3
JUNIOR COLLEGE,7,0
HIGH SCHOOL,25,6
HIGH SCHOOL,45,3
HIGH SCHOOL,45,1
GRADUATE,65,2
HIGH SCHOOL,40,6
LT HIGH SCHOOL,40,3
HIGH SCHOOL,45,5
JUNIOR COLLEGE,40,4
HIGH SCHOOL,40,6
HIGH SCHOOL,43,3
HIGH SCHOOL,52,2
LT HIGH SCHOOL,30,6
HIGH SCHOOL,40,NA
HIGH SCHOOL,28,3
HIGH SCHOOL,40,1
HIGH SCHOOL,44,4
HIGH SCHOOL,74,1
HIGH SCHOOL,50,1
HIGH SCHOOL,35,3
JUNIOR COLLEGE,32,2
BACHELOR,40,4
HIGH SCHOOL,57,2
HIGH SCHOOL,50,4
BACHELOR,35,4
JUNIOR COLLEGE,60,2
HIGH SCHOOL,40,2
HIGH SCHOOL,50,1
BACHELOR,32,2
HIGH SCHOOL,15,2
HIGH SCHOOL,9,5
HIGH SCHOOL,40,4
LT HIGH SCHOOL,8,4
HIGH SCHOOL,20,4
HIGH SCHOOL,40,6
LT HIGH SCHOOL,50,2
HIGH SCHOOL,40,2
LT HIGH SCHOOL,40,3
LT HIGH SCHOOL,48,2
HIGH SCHOOL,70,2
LT HIGH SCHOOL,44,12
HIGH SCHOOL,55,1
HIGH SCHOOL,40,4
HIGH SCHOOL,40,2
HIGH SCHOOL,42,4
HIGH SCHOOL,30,7
LT HIGH SCHOOL,20,7
HIGH SCHOOL,40,6
BACHELOR,56,6
HIGH SCHOOL,39,8
LT HIGH SCHOOL,72,3
BACHELOR,50,4
GRADUATE,40,1
HIGH SCHOOL,40,6
BACHELOR,28,2
GRADUATE,50,5
HIGH SCHOOL,35,1
BACHELOR,40,2
BACHELOR,48,1
HIGH SCHOOL,60,5
BACHELOR,36,1
HIGH SCHOOL,45,4
HIGH SCHOOL,20,4
GRADUATE,85,1
HIGH SCHOOL,20,6
BACHELOR,40,4
JUNIOR COLLEGE,9,2
HIGH SCHOOL,10,0
HIGH SCHOOL,46,0
HIGH SCHOOL,40,2
GRADUATE,15,12
HIGH SCHOOL,42,3
BACHELOR,30,2
BACHELOR,30,5
BACHELOR,45,4
HIGH SCHOOL,9,5
HIGH SCHOOL,40,2
HIGH SCHOOL,2,1
LT HIGH SCHOOL,25,6
HIGH SCHOOL,89,2
HIGH SCHOOL,52,2
BACHELOR,40,3
HIGH SCHOOL,24,5
LT HIGH SCHOOL,48,0
LT HIGH SCHOOL,56,2
HIGH SCHOOL,40,3
LT HIGH SCHOOL,40,0
LT HIGH SCHOOL,14,2
HIGH SCHOOL,35,2
HIGH SCHOOL,40,2
HIGH SCHOOL,50,6
GRADUATE,6,8
HIGH SCHOOL,40,2
LT HIGH SCHOOL,60,12
HIGH SCHOOL,32,0
GRADUATE,40,1
HIGH SCHOOL,40,4
HIGH SCHOOL,25,NA
HIGH SCHOOL,9,6
JUNIOR COLLEGE,70,1
BACHELOR,40,3
BACHELOR,40,3
HIGH SCHOOL,30,10
GRADUATE,40,4
HIGH SCHOOL,40,5
HIGH SCHOOL,20,6
GRADUATE,21,7
HIGH SCHOOL,50,1
BACHELOR,50,1
JUNIOR COLLEGE,40,2
GRADUATE,41,6
HIGH SCHOOL,48,0
GRADUATE,60,2
BACHELOR,40,4
BACHELOR,50,5
HIGH SCHOOL,50,5
HIGH SCHOOL,35,2
HIGH SCHOOL,65,4
BACHELOR,42,5
HIGH SCHOOL,44,1
BACHELOR,43,3
HIGH SCHOOL,50,6
HIGH SCHOOL,40,4
GRADUATE,40,3
GRADUATE,20,10
HIGH SCHOOL,45,6
HIGH SCHOOL,43,2
HIGH SCHOOL,45,1
HIGH SCHOOL,50,2
HIGH SCHOOL,10,10
HIGH SCHOOL,20,2
HIGH SCHOOL,8,6
HIGH SCHOOL,40,2
HIGH SCHOOL,42,1
HIGH SCHOOL,55,3
LT HIGH SCHOOL,40,5
BACHELOR,50,5
GRADUATE,40,0
GRADUATE,40,1
GRADUATE,45,3
BACHELOR,60,4
HIGH SCHOOL,89,0
BACHELOR,60,2
GRADUATE,50,1
HIGH SCHOOL,40,5
HIGH SCHOOL,50,5
HIGH SCHOOL,40,3
HIGH SCHOOL,45,5
BACHELOR,44,1
BACHELOR,89,2
GRADUATE,55,2
HIGH SCHOOL,89,3
HIGH SCHOOL,40,2
JUNIOR COLLEGE,40,3
JUNIOR COLLEGE,32,3
HIGH SCHOOL,56,2
HIGH SCHOOL,40,3
JUNIOR COLLEGE,27,5
BACHELOR,60,4
HIGH SCHOOL,40,1
JUNIOR COLLEGE,24,2
HIGH SCHOOL,40,5
GRADUATE,42,6
GRADUATE,55,3
HIGH SCHOOL,38,6
BACHELOR,52,1
HIGH SCHOOL,40,2
HIGH SCHOOL,40,1
HIGH SCHOOL,50,9
HIGH SCHOOL,35,1
HIGH SCHOOL,9,1
HIGH SCHOOL,50,3
HIGH SCHOOL,40,4
LT HIGH SCHOOL,32,10
HIGH SCHOOL,41,4
HIGH SCHOOL,52,5
HIGH SCHOOL,40,4
HIGH SCHOOL,89,4
GRADUATE,89,3
HIGH SCHOOL,86,2
BACHELOR,40,1
HIGH SCHOOL,20,6
JUNIOR COLLEGE,36,4
HIGH SCHOOL,40,3
JUNIOR COLLEGE,89,3
JUNIOR COLLEGE,37,5
LT HIGH SCHOOL,40,2
HIGH SCHOOL,35,2
LT HIGH SCHOOL,68,3
HIGH SCHOOL,29,2
BACHELOR,44,3
HIGH SCHOOL,16,6
HIGH SCHOOL,56,2
LT HIGH SCHOOL,14,4
LT HIGH SCHOOL,50,2
HIGH SCHOOL,55,4
HIGH SCHOOL,46,3
HIGH SCHOOL,40,1
BACHELOR,40,3
BACHELOR,50,1
GRADUATE,60,3
BACHELOR,40,3
BACHELOR,50,2
HIGH SCHOOL,40,1
HIGH SCHOOL,40,3
HIGH SCHOOL,48,2
HIGH SCHOOL,40,6
JUNIOR COLLEGE,40,5
HIGH SCHOOL,40,3
GRADUATE,52,4
HIGH SCHOOL,27,5
GRADUATE,40,3
HIGH SCHOOL,68,4
LT HIGH SCHOOL,40,NA
HIGH SCHOOL,40,12
HIGH SCHOOL,15,4
LT HIGH SCHOOL,4,4
JUNIOR COLLEGE,46,3
HIGH SCHOOL,40,0
HIGH SCHOOL,70,6
HIGH SCHOOL,40,1
LT HIGH SCHOOL,32,3
HIGH SCHOOL,30,4
JUNIOR COLLEGE,60,2
HIGH SCHOOL,48,2
HIGH SCHOOL,36,3
LT HIGH SCHOOL,82,1
HIGH SCHOOL,32,6
LT HIGH SCHOOL,67,2
JUNIOR COLLEGE,40,1
HIGH SCHOOL,26,0
BACHELOR,40,3
HIGH SCHOOL,47,1
HIGH SCHOOL,50,3
LT HIGH SCHOOL,40,5
HIGH SCHOOL,40,2
LT HIGH SCHOOL,39,0
HIGH SCHOOL,15,12
HIGH SCHOOL,43,4
BACHELOR,50,5
HIGH SCHOOL,30,6
HIGH SCHOOL,40,5
HIGH SCHOOL,50,2
GRADUATE,40,2
GRADUATE,40,2
HIGH SCHOOL,42,3
HIGH SCHOOL,24,NA
BACHELOR,40,5
BACHELOR,40,6
HIGH SCHOOL,50,3
HIGH SCHOOL,40,1
HIGH SCHOOL,28,6
HIGH SCHOOL,40,2
HIGH SCHOOL,50,1
BACHELOR,15,2
HIGH SCHOOL,40,2
BACHELOR,40,5
HIGH SCHOOL,49,5
LT HIGH SCHOOL,80,4
HIGH SCHOOL,48,5
HIGH SCHOOL,42,0
HIGH SCHOOL,35,3
HIGH SCHOOL,40,0
HIGH SCHOOL,80,3
LT HIGH SCHOOL,56,4
HIGH SCHOOL,30,3
GRADUATE,60,0
JUNIOR COLLEGE,25,6
JUNIOR COLLEGE,40,5
HIGH SCHOOL,40,9
JUNIOR COLLEGE,13,NA
LT HIGH SCHOOL,36,2
HIGH SCHOOL,40,2
HIGH SCHOOL,65,13
HIGH SCHOOL,9,3
GRADUATE,40,3
LT HIGH SCHOOL,70,3
JUNIOR COLLEGE,37,6
JUNIOR COLLEGE,20,0
HIGH SCHOOL,32,2
HIGH SCHOOL,35,6
HIGH SCHOOL,8,7
JUNIOR COLLEGE,80,1
HIGH SCHOOL,40,4
HIGH SCHOOL,56,4
JUNIOR COLLEGE,45,1
LT HIGH SCHOOL,55,4
JUNIOR COLLEGE,30,2
BACHELOR,50,5
HIGH SCHOOL,25,7
HIGH SCHOOL,70,5
HIGH SCHOOL,12,10
HIGH SCHOOL,10,3
LT HIGH SCHOOL,52,2
HIGH SCHOOL,50,3
HIGH SCHOOL,80,4
BACHELOR,55,3
GRADUATE,55,8
LT HIGH SCHOOL,70,10
HIGH SCHOOL,40,6
HIGH SCHOOL,9,4
HIGH SCHOOL,40,8
HIGH SCHOOL,40,3
BACHELOR,40,5
JUNIOR COLLEGE,50,4
JUNIOR COLLEGE,40,0
HIGH SCHOOL,9,8
GRADUATE,45,2
HIGH SCHOOL,24,2
JUNIOR COLLEGE,36,2
LT HIGH SCHOOL,9,NA
HIGH SCHOOL,30,4
BACHELOR,70,4
LT HIGH SCHOOL,4,4
LT HIGH SCHOOL,70,0
HIGH SCHOOL,52,0
HIGH SCHOOL,37,3
BACHELOR,18,5
JUNIOR COLLEGE,60,3
HIGH SCHOOL,45,2
HIGH SCHOOL,22,6
GRADUATE,40,2
HIGH SCHOOL,40,4
LT HIGH SCHOOL,9,6
LT HIGH SCHOOL,35,3
HIGH SCHOOL,45,4
HIGH SCHOOL,50,3
JUNIOR COLLEGE,89,14
LT HIGH SCHOOL,55,2
HIGH SCHOOL,50,4
HIGH SCHOOL,40,1
HIGH SCHOOL,20,6
JUNIOR COLLEGE,60,3
HIGH SCHOOL,80,2
HIGH SCHOOL,35,5
LT HIGH SCHOOL,35,4
BACHELOR,50,4
HIGH SCHOOL,84,12
BACHELOR,16,1
HIGH SCHOOL,60,2
BACHELOR,32,4
LT HIGH SCHOOL,33,3
HIGH SCHOOL,60,4
BACHELOR,40,4
BACHELOR,40,6
BACHELOR,40,6
HIGH SCHOOL,40,6
BACHELOR,40,3
JUNIOR COLLEGE,46,4
GRADUATE,40,6
LT HIGH SCHOOL,25,7
HIGH SCHOOL,40,4
JUNIOR COLLEGE,50,0
LT HIGH SCHOOL,40,4
LT HIGH SCHOOL,43,2
HIGH SCHOOL,35,2
LT HIGH SCHOOL,24,6
BACHELOR,16,6
LT HIGH SCHOOL,50,4
HIGH SCHOOL,20,8
LT HIGH SCHOOL,50,7
BACHELOR,10,5
HIGH SCHOOL,40,5
HIGH SCHOOL,38,NA
HIGH SCHOOL,40,NA
LT HIGH SCHOOL,38,6
HIGH SCHOOL,40,3
BACHELOR,49,5
HIGH SCHOOL,40,6
